id,measure,system,name,code,comment
facturacion_electronica.ul,Volumen,Metrico,ul,ul,Microlitro: 10-6 l
facturacion_electronica.ml,Volumen,Metrico,ml,ml,Mililitro: 10-3 l
facturacion_electronica.cl,Volumen,Metrico,cl,cl,Centilitro: 10-2 l
facturacion_electronica.dl,Volumen,Metrico,dl,dl,Decilitro: 10-1 l
facturacion_electronica.l,Volumen,Metrico,l,l,Litro
facturacion_electronica.dal,Volumen,Metrico,dal,dal,Decalitro: 10 l
facturacion_electronica.hl,Volumen,Metrico,hl,hl,Hectolitro: 100 l
facturacion_electronica.kl,Volumen,Metrico,kl,kl,Kilolitro: 1000 l
facturacion_electronica.mm3,Volumen,Metrico,mm3,mm3,Milimetro cubico: 10-6 l
facturacion_electronica.cm3,Volumen,Metrico,cm3,cm3,Centimetro cubico: 10-3 l
facturacion_electronica.dm3,Volumen,Metrico,dm3,dm3,Decimetro cubico: 1 l
facturacion_electronica.m3,Volumen,Metrico,m3,m3,Metro cubico: 1000 l
facturacion_electronica.oz,Volumen,EUA,fl,oz,fl oz Onza liquida EUA: 29.5735295625 ml
facturacion_electronica.gill,Volumen,EUA,gill,gill,"Gill: 4 fl oz, o 118.29411825 ml"
facturacion_electronica.pint,Volumen,EUA,pint,pint,"Pinta liquida EUA: 4 gills, 16 fl oz o 473.17647 ml"
facturacion_electronica.quart,Volumen,EUA,quart ,quart,"Cuarto EUA: 2 pt, 8 gills, 32 fl oz o 0.94635295 l"
facturacion_electronica.gal,Volumen,EUA,gal,gal,"Galon EUA: 4 qt, 8 pt, 32 gills, 128 fl u oz 3.875 l"
facturacion_electronica.fl_oz_UK,Volumen,Brit,fl oz UK,fl oz UK,Onza liquida UK: 28.4130625 ml
facturacion_electronica.gill_UK,Volumen,Brit,gill UK,gill UK,"Gill UK: 4 fl oz UK, o 142.0653125 ml"
facturacion_electronica.pint_UK,Volumen,Brit,pint UK,pint UK,Pinta liquida UK: 568.26125 ml
facturacion_electronica.quart_UK,Volumen,Brit,quart UK,quart UK,Cuarto UK: 1.1365225 l
facturacion_electronica.gal_UK,Volumen,Brit,gal UK,gal UK,Galon UK: 4.54609 l
facturacion_electronica.pinta_seca,Volumen,EUA aridos,pinta seca,pinta seca,Pinta seca: 550.610471358 ml
facturacion_electronica.cuarto_seco,Volumen,EUA aridos,cuarto seco,cuarto seco,"Cuarto seco: 2 pinta seca, o 1.10122094272 l"
facturacion_electronica.galon_seco,Volumen,EUA aridos,galon seco,galon seco,"Galon seco: 4 cuarto seco, 8 pinta seca, o 4.40488377086 l"
facturacion_electronica.pk,Volumen,EUA aridos,pk,pk,"Peck: 2 galon seco, 8 cuarto seco, 16 pinta seca, o8.80976754172 l"
facturacion_electronica.bu,Volumen,EUA aridos,bu,bu,"Bushel (EUA): 8 gal, o 35.23907 l"
facturacion_electronica.seca,Volumen,Brit aridos,pinta,seca,UK pinta seca UK Pinta seca UK:661.25560456 ml
facturacion_electronica.cuarto_seco_UK,Volumen,Brit aridos,cuarto seco UK,cuarto seco UK,"Cuarto seco UK: 2 pinta seca UK, o1,32251120912 l"
facturacion_electronica.pk_UK,Volumen,Brit aridos,pk UK,pk UK,"Peck: 8 cuarto seco UK, 16 pinta seca UK, o10.5800896729 l"
facturacion_electronica.bu_UK,Volumen,Brit aridos,bu UK,bu UK,"Bushel (UK): 4 pk UK, o 42.3203586918l"
facturacion_electronica.in3,Volumen,EUA/Brit solidos,in3,in3,"Pulgada cubica: 16,387064 cmn"
facturacion_electronica.Ft3,Volumen,EUA/Brit solidos,ft3,Ft3,"Pie cubico: 1728 inn, o 28,316846592 dmn"
facturacion_electronica.yd3,Volumen,EUA/Brit solidos,yd3,yd3,"Yarda cubica: 27 ftn, 46656 inn o 764.554857984 dmn"
facturacion_electronica.ug,Masa,Metrico,ug,ug,Microgramo: 10-6 g
facturacion_electronica.mg,Masa,Metrico,mg,mg,Miligramo: 10-3 g
facturacion_electronica.cg,Masa,Metrico,cg,cg,Centigramo: 10-2 g
facturacion_electronica.dg,Masa,Metrico,dg,dg,Decigramo: 10-1 g
facturacion_electronica.g,Masa,Metrico,g,g,Gramo
facturacion_electronica.dag,Masa,Metrico,dag,dag,Decagramo: 10 g
facturacion_electronica.hg,Masa,Metrico,hg,hg,Hectogramo: 100 g
facturacion_electronica.kg,Masa,Metrico,kg,kg,Kilogramo: 1000 g
facturacion_electronica.t,Masa,Metrico,t,t,Tonelada: 1000 kg
facturacion_electronica.ton,Masa,Brit,ton,ton,Tonelada Curta: 907.18474 Kg
facturacion_electronica.LTN,Masa,Brit,LTN,LTN,Tonelada Longa: 1016.0469088 Kg
facturacion_electronica.TN,Masa,Brit,TN,TN,"Tonelada de carga: Unidad de informacion que normalmente se utiliza para la facturacion, que se define como sea el numero de toneladas metricas o el numero de metros cubicos, lo que sea mayor"
facturacion_electronica.gr,Masa,Avoirdupois,gr,gr,"Grain (1/7000 lb, o 64.79mg)"
facturacion_electronica.dr,Masa,Avoirdupois,dr,dr,"Dram (1/256 lb, 1/16 oz, o 1.772 g)"
facturacion_electronica.oz,Masa,Avoirdupois,oz,oz,"Onza (1/16 lb, o 28.35 g)"
facturacion_electronica.lb,Masa,Avoirdupois,lb,lb,Libra (453.6 g)
facturacion_electronica.st,Masa,Avoirdupois,st,st,"Stone (14 lb, 1/2 qr, o 6.3504 kg)"
facturacion_electronica.qr,Masa,Avoirdupois,qr,qr,"Quarter (28 lb, o 12.708 kg)"
facturacion_electronica.cwt,Masa,Avoirdupois,cwt,cwt,Hundredweight (50.8 kg)
facturacion_electronica.ozt,Masa,Avoirdupois,ozt,ozt,Onza troy: 31.103g
facturacion_electronica.lbt,Masa,Avoirdupois,lbt,lbt,Libra troy: 373.24 g
facturacion_electronica.dwt,Masa,Avoirdupois,dwt,dwt,Pennyweight: 1.55 g
facturacion_electronica.ct,Masa,Troy,ct,ct,"Quilate metrico: 200 mg (se utiliza para la medicion de oro, piedras preciosas y perlas)"
facturacion_electronica.und,Contaje,Agrupamiento,Unidad,und,
facturacion_electronica.Persona,Contaje,Agrupamiento,Persona,Persona,
facturacion_electronica.Cabeza,Contaje,Agrupamiento,Cabeza,Cabeza,Cabeza: animal considerado como un numero
facturacion_electronica.Grupo,Contaje,Agrupamiento,Grupo,Grupo,Grupo: conjunto de elementos clasificados juntos
facturacion_electronica.Bobina,Contaje,Agrupamiento,Bobina,Bobina,
facturacion_electronica.Decena,Contaje,Agrupamiento,Decena,Decena,Unidad de recuento de definir el numero de unidades en multiplos de 10
facturacion_electronica.Docena,Contaje,Agrupamiento,Docena,Docena,Unidad de recuento de definir el numero de unidades en multiplos de 12
